output,r2,rmse,mae,mape,mape_unreliable_near_zero
HC,0.895581841468811,0.21139618754386902,0.14866791665554047,22.429861068725586,false
NOx,-0.20752346515655518,0.5486131310462952,0.47889161109924316,1039.1558837890625,false
CO2,0.9251285195350647,0.15003328025341034,0.11963314563035965,68.66259765625,false
PM,0.8702023029327393,0.36293113231658936,0.23506063222885132,364.0769348144531,false
eta,-0.20112693309783936,0.29972055554389954,0.2639453113079071,85.93278503417969,false
