variable,train_min,train_max
SOI,1.95556604862213,9.03076171875
lambda,1.22526073455811,1.54026055335999
sub_rate,24.9848079681396,84.0925521850586
P_rail,1399.90698242188,1699.96350097656
HC,3.38883924484253,10.4780883789063
NOx,703.169921875,1404.41540527344
CO2,7.2739429473877,9.86689376831055
PM,0.0149999996647239,0.157000005245209
eta,0.338413208723068,0.388465970754623
