output,r2,rmse,mae,mape,mape_unreliable_near_zero
HC,0.7878226041793823,0.30134135484695435,0.21163992583751678,44.894775390625,false
NOx,0.2997136116027832,0.4177882969379425,0.31681379675865173,1211.63525390625,false
CO2,0.8997012376785278,0.17365093529224396,0.11300185322761536,47.2344970703125,false
PM,0.47139960527420044,0.7324102520942688,0.41348111629486084,314.5997314453125,false
eta,0.11434036493301392,0.2573685646057129,0.19617106020450592,70.81024932861328,false
