split,output,r2
train,HC,0.8990904281256514
train,NOx,0.9561400355563636
train,CO2,0.944124861321838
train,PM,0.9647098839885562
train,eta,0.8118999859514189
val,HC,0.8074043548609393
val,NOx,0.5404846849253113
val,CO2,0.9242558884574907
val,PM,0.768794266742763
val,eta,-0.17078571428221156
test,HC,0.7878224972980198
test,NOx,0.29971361887844694
test,CO2,0.8997012443930292
test,PM,0.47139962489588205
test,eta,0.11434041894935909
