SOI,lambda,sub_rate,P_rail,HC,NOx,CO2,PM,eta,ofat_block,extremity,split,SOI_norm,lambda_norm,sub_rate_norm,P_rail_norm,HC_norm,NOx_norm,CO2_norm,PM_norm,eta_norm
10.04150390625,1.47565567493439,67.6069030761719,1599.77514648438,6.76672506332397,1546.24560546875,7.92136335372925,0.0260000005364418,0.389683663845062,SOI,1.0,test,1.1428571356361843,0.7949050298780225,0.7210915536145965,0.6661017231861189,0.4764800551656075,1.202254707592496,0.2496847996951706,0.0774647918269492,1.0243281897145111
9.03076171875,1.4820704460144,67.8676452636719,1600.03979492188,6.98494863510132,1404.41540527344,7.91166305541992,0.0329999998211861,0.388465970754623,SOI,0.7777777777777777,train,1.0,0.8152693942272115,0.7255028569210314,0.666983718480788,0.5072623802963168,1.0,0.24594377297339215,0.12676055950054077,1.0
8.02001953125,1.4572252035141,66.6258926391602,1599.99499511719,7.12414455413818,1285.57067871094,7.90611362457275,0.0280000008642673,0.379428327083588,SOI,0.5555555555555556,train,0.8571428643638159,0.7363955631412116,0.7044945670435729,0.6668344139267466,0.5268971704418661,0.8305233625369766,0.2438035739374557,0.0915493006243232,0.8194376632934383
7.00927686691284,1.46435737609863,66.9480438232422,1600.07214355469,7.20555782318115,1182.61242675781,7.90015125274658,0.0209999997168779,0.378483682870865,SOI,0.33333333333333326,train,0.7142856613320172,0.7590373938941865,0.7099448035286559,0.6670915269462258,0.5383812172715621,0.6837013802346247,0.24150411967165977,0.042253519833513116,0.8005646945624126
5.99853515625,1.48491501808167,68.0461654663086,1599.91650390625,7.20193576812744,1096.74523925781,7.91334819793701,0.0219999998807907,0.382072120904922,SOI,0.11111111111111116,train,0.5714285930914476,0.8242997869369258,0.7285231075667259,0.6665728258388821,0.5378702950306852,0.561251839335106,0.24659366671742008,0.04929577423220048,0.872257801763864
4.98779296875,1.47158598899841,67.3548126220703,1599.93786621094,7.1800684928894,1024.46301269531,7.92006921768189,0.0230000000447035,0.375693380832672,SOI,0.11111111111111116,train,0.42857145745526337,0.7819853845542271,0.7168266225562151,0.6666440201085247,0.5347857264361118,0.4581749165259932,0.24918570189627784,0.05633802863088784,0.7448174805238774
3.97705101966858,1.47393071651459,67.580192565918,1600.00524902344,7.28906393051147,946.769958496094,7.91763019561768,0.0179999992251396,0.372478723526001,SOI,0.33333333333333337,train,0.28571435551688645,0.7894289682524603,0.7206396583408422,0.666868587176171,0.5501604770706111,0.3473819687800871,0.2482450662141318,0.02112675663745177,0.6805921076134993
2.96630907058716,1.45542788505554,66.6038208007813,1600.07373046875,7.25997114181519,878.012145996094,7.91943740844727,0.0189999993890524,0.363276153802872,SOI,0.5555555555555556,train,0.14285725357850956,0.7306897869747483,0.7041211500121618,0.6670968156633903,0.5460566872127417,0.24933098074836446,0.24894203771664056,0.02816901103613913,0.496734726929345
1.95556604862213,1.45520997047424,66.5148239135742,1600.03234863281,7.24890089035034,822.55712890625,7.91838645935059,0.0149999996647239,0.359017461538315,SOI,0.7777777777777778,train,0.0,0.7299979942552198,0.7026154778132618,0.6669589021924904,0.5444951323491021,0.17025023313186247,0.2485367276397199,0.0,0.4116506657965714
0.944823980331421,1.45153701305389,66.1465835571289,1599.87377929688,7.12630939483643,774.466613769531,7.93596887588501,0.0109999999403954,0.35380408167839,SOI,1.0,test,-0.1428571187872804,0.718337805261079,0.6963854928709522,0.6664304372996303,0.5272025399749874,0.10167151672622042,0.2553175799384001,-0.028169011036139106,0.3074929800201444
4.98779296875,1.43146324157715,0.771839439868927,1599.83410644531,0.0733714923262596,695.0048828125,9.89304924011231,0.409999996423721,0.348153829574585,sub_rate,1.0,test,0.42857145745526337,0.6546115099473491,-0.40964122128247205,0.6662982193702844,-0.4676754462733552,-0.011643624459340316,1.0100871453444886,2.7816900087029404,0.1946070597537889
4.98779296875,1.43200135231018,11.8172054290771,1599.88037109375,1.34021329879761,687.199096679688,9.50050640106201,0.263999998569489,0.348066926002502,sub_rate,0.8,val,0.42857145745526337,0.6563197989713768,-0.22277288219186353,0.6664524058171007,-0.28897643562860464,-0.022774941975972195,0.8586986824847914,1.7535210501356835,0.1928708204623741
4.98779296875,1.38965284824371,24.9848079681396,1599.87854003906,3.38883924484253,703.169921875,9.02947044372559,0.157000005245209,0.338413208723068,sub_rate,0.6,train,0.42857145745526337,0.5218800261881895,0.0,0.6664463034511238,0.0,0.0,0.677038485331968,1.0,0.0
4.98779296875,1.46709454059601,47.8390121459961,1600.24816894531,6.49418830871582,798.211730957031,8.37284755706787,0.046000000089407,0.362032622098923,sub_rate,0.4,train,0.42857145745526337,0.7677268099954119,0.38665329696873657,0.6676781677279955,0.43803638511617815,0.13553286449907773,0.4238046478988218,0.21830985356625507,0.47189030968889367
4.98779296875,1.41823863983154,55.6663780212402,1600.01635742188,7.28553771972656,880.15380859375,8.12447261810303,0.0240000002086163,0.353847652673721,sub_rate,0.19999999999999996,train,0.42857145745526337,0.6126286231129678,0.5190786835055415,0.6669056081963892,0.5496630744940861,0.2523850647294504,0.32801612118991885,0.06338028302957517,0.3083634813384035
4.98779296875,1.1289883852005,65.1845626831055,1599.88195800781,3.12970113754272,1332.65063476563,10.2692909240723,0.0540000014007092,0.350884228944778,lambda,0.8666666666666667,val,0.42857145745526337,-0.30562668170346025,0.6801097766045202,0.6664576945342652,-0.03655367478265844,0.8976609871909378,1.1551888884720662,0.27464788875575247,0.2491574833342427
4.98779296875,1.43423652648926,66.258659362793,1599.94384765625,7.24475288391113,1018.15545654297,7.9135947227478,0.025000000372529,0.365556001663208,lambda,0.06666666666666665,train,0.42857145745526337,0.6634155940978047,0.6982816201407188,0.666663954504014,0.5439100201093193,0.44918012611141295,0.24668874172185168,0.07042253742826184,0.5422836190943514
4.98779296875,1.43828213214874,66.4908447265625,1499.94384765625,7.61288738250732,964.521606445313,7.89527082443237,0.025000000372529,0.364930719137192,lambda,0.19999999999999996,train,0.42857145745526337,0.6762587940554037,0.7022097917677295,0.33339340773608306,0.5958385800504995,0.372696424800808,0.23962192881989772,0.07042253742826184,0.5297911511338058
4.98779296875,1.11323666572571,66.5563583374023,1599.90466308594,2.67914056777954,1341.33911132813,10.7043504714966,0.0989999994635582,0.355173528194427,lambda,1.0,test,0.42857145745526337,-0.3556321691183502,0.7033181678647663,0.6665333638722931,-0.10010914606638595,0.9100510513955485,1.322974387492622,0.5915492711105804,0.33485303889509005
4.98779296875,1.4382655620575,66.6525726318359,1399.90698242188,8.14286518096924,898.255493164062,7.87132692337036,0.0240000002086163,0.362419307231903,lambda,0.06666666666666665,train,0.42857145745526337,0.6762061905608904,0.7049459460130999,0.0,0.6705965393829458,0.27819868492217664,0.23038770005288695,0.06338028302957517,0.4796158600338723
