SOI,lambda,sub_rate,P_rail,HC,NOx,CO2,PM,eta,ofat_block
10.04150390625,1.47565567493439,67.6069030761719,1599.77514648438,6.76672506332397,1546.24560546875,7.92136335372925,0.0260000005364418,0.389683663845062,SOI
9.03076171875,1.4820704460144,67.8676452636719,1600.03979492188,6.98494863510132,1404.41540527344,7.91166305541992,0.0329999998211861,0.388465970754623,SOI
8.02001953125,1.4572252035141,66.6258926391602,1599.99499511719,7.12414455413818,1285.57067871094,7.90611362457275,0.0280000008642673,0.379428327083588,SOI
7.00927686691284,1.46435737609863,66.9480438232422,1600.07214355469,7.20555782318115,1182.61242675781,7.90015125274658,0.0209999997168779,0.378483682870865,SOI
5.99853515625,1.48491501808167,68.0461654663086,1599.91650390625,7.20193576812744,1096.74523925781,7.91334819793701,0.0219999998807907,0.382072120904922,SOI
4.98779296875,1.47158598899841,67.3548126220703,1599.93786621094,7.1800684928894,1024.46301269531,7.92006921768189,0.0230000000447035,0.375693380832672,SOI
3.97705101966858,1.47393071651459,67.580192565918,1600.00524902344,7.28906393051147,946.769958496094,7.91763019561768,0.0179999992251396,0.372478723526001,SOI
2.96630907058716,1.45542788505554,66.6038208007813,1600.07373046875,7.25997114181519,878.012145996094,7.91943740844727,0.0189999993890524,0.363276153802872,SOI
1.95556604862213,1.45520997047424,66.5148239135742,1600.03234863281,7.24890089035034,822.55712890625,7.91838645935059,0.0149999996647239,0.359017461538315,SOI
0.944823980331421,1.45153701305389,66.1465835571289,1599.87377929688,7.12630939483643,774.466613769531,7.93596887588501,0.0109999999403954,0.35380408167839,SOI
4.98779296875,1.43146324157715,0.771839439868927,1599.83410644531,0.0733714923262596,695.0048828125,9.89304924011231,0.409999996423721,0.348153829574585,sub_rate
4.98779296875,1.43200135231018,11.8172054290771,1599.88037109375,1.34021329879761,687.199096679688,9.50050640106201,0.263999998569489,0.348066926002502,sub_rate
4.98779296875,1.38965284824371,24.9848079681396,1599.87854003906,3.38883924484253,703.169921875,9.02947044372559,0.157000005245209,0.338413208723068,sub_rate
4.98779296875,1.46709454059601,47.8390121459961,1600.24816894531,6.49418830871582,798.211730957031,8.37284755706787,0.046000000089407,0.362032622098923,sub_rate
4.98779296875,1.41823863983154,55.6663780212402,1600.01635742188,7.28553771972656,880.15380859375,8.12447261810303,0.0240000002086163,0.353847652673721,sub_rate
4.98779296875,1.1289883852005,65.1845626831055,1599.88195800781,3.12970113754272,1332.65063476563,10.2692909240723,0.0540000014007092,0.350884228944778,lambda
4.98779296875,1.43423652648926,66.258659362793,1599.94384765625,7.24475288391113,1018.15545654297,7.9135947227478,0.025000000372529,0.365556001663208,lambda
4.98779296875,1.43828213214874,66.4908447265625,1499.94384765625,7.61288738250732,964.521606445313,7.89527082443237,0.025000000372529,0.364930719137192,lambda
4.98779296875,1.11323666572571,66.5563583374023,1599.90466308594,2.67914056777954,1341.33911132813,10.7043504714966,0.0989999994635582,0.355173528194427,lambda
4.98779296875,1.4382655620575,66.6525726318359,1399.90698242188,8.14286518096924,898.255493164062,7.87132692337036,0.0240000002086163,0.362419307231903,lambda
4.98779296875,1.48647797107697,66.6640548706055,1599.88122558594,8.69611740112305,935.202758789063,7.59952211380005,0.0209999997168779,0.364951997995377,lambda
4.98779296875,1.2441930770874,66.7105560302734,1599.87915039063,4.01827764511108,1273.35864257813,9.47510814666748,0.0270000007003546,0.366643786430359,lambda
4.98779296875,1.44469940662384,66.7281265258789,1599.88122558594,7.26591110229492,1013.32690429688,7.91489887237549,0.025000000372529,0.368066817522049,lambda
4.98779296875,1.58988690376282,66.7421875,1599.85388183594,12.7185134887695,783.956970214844,6.94728899002075,0.0179999992251396,0.358661442995071,lambda
4.98779296875,1.64886796474457,66.7746887207031,1600.13916015625,14.9074487686157,719.357727050781,6.63280630111694,0.0230000000447035,0.355454951524734,lambda
4.98779296875,1.39512026309967,66.9207763671875,1600.26171875,6.16438245773315,1079.08947753906,8.2450590133667,0.0219999998807907,0.369021564722061,lambda
4.98779296875,1.54026055335999,66.9445266723633,1599.96948242188,10.4780883789063,857.316467285156,7.2739429473877,0.0209999997168779,0.362958371639252,lambda
4.98779296875,1.4517514705658,66.9572219848633,1800.08325195313,6.81445789337158,1115.67370605469,7.93900632858276,0.0240000002086163,0.372737109661102,P_rail
4.98779296875,1.4555995464325,67.3452377319336,1699.96350097656,7.00204086303711,1068.46496582031,7.92471408843994,0.0230000000447035,0.37271973490715,P_rail
4.98779296875,1.46283257007599,67.4668121337891,1600.34765625,7.34945297241211,999.576904296875,7.91068315505981,0.0199999995529652,0.372339487075806,lambda
4.98779296875,1.27492809295654,67.5094680786133,1599.91589355469,4.56405019760132,1227.35717773438,9.05965900421143,0.0160000007599592,0.363782465457916,lambda
4.98779296875,1.22526073455811,67.9125442504883,1600.11267089844,3.58699631690979,1309.2568359375,9.86689376831055,0.034000001847744,0.371276050806046,lambda
4.98779296875,1.362997174263,68.8794784545898,1600.12353515625,5.29787826538086,1150.55639648438,8.64500427246094,0.0230000000447035,0.374956041574478,lambda
4.98779296875,1.48207485675812,69.2612457275391,1299.61682128906,8.56091785430908,855.619934082031,7.83173608779907,0.0280000008642673,0.372236639261246,P_rail
4.98779296875,1.43365776538849,71.3643798828125,1600.34240722656,7.23111438751221,1113.2763671875,7.81121730804443,0.0260000005364418,0.36952668428421,sub_rate
4.98779296875,1.44450306892395,76.752815246582,1600.07104492188,7.27980422973633,1181.7783203125,7.72447061538696,0.028999999165535,0.375895798206329,sub_rate
4.98779296875,1.46210646629334,82.9067687988281,1600.12268066406,7.60417747497559,1175.23266601563,7.60804557800293,0.0309999994933605,0.382538646459579,sub_rate
4.98779296875,1.42375814914703,84.0925521850586,1599.93444824219,7.70346927642822,1126.02197265625,7.53479671478272,0.0320000015199184,0.37413015961647,sub_rate
4.98779296875,1.43216466903687,88.4533462524414,1599.85009765625,7.83459806442261,1002.23345947266,7.45490789413452,0.0209999997168779,0.37613034248352,sub_rate
4.98779296875,1.42191314697266,91.7970809936523,1600.17834472656,7.92941808700562,670.553894042969,7.38875722885132,0.0140000004321337,0.365528345108032,sub_rate
