architecture,seed,fold,n_train,n_val,mse,r2,train_mse,gap,epochs_run,best_epoch,early_stopped,mse_HC,mse_NOx,mse_CO2,mse_PM,mse_eta
A1,0,0,27,7,0.026334224788597923,0.3766197351616377,0.02148501012253503,0.004849214666062893,300,300,false,0.009855275362632072,0.012915905106229265,0.05472252327705567,0.042189533701175876,0.011987886495896726
A1,0,1,27,7,0.06565875140585735,0.4431306653650542,0.011182663123626195,0.054476088282231154,300,300,false,0.04890384319074054,0.016114886218585703,0.05885128221236779,0.18475785421244326,0.019665891195149516
A1,0,2,27,7,0.017331966693005848,-0.7549723214963655,0.04822080335996155,-0.030888836666955705,101,71,true,0.016836455131434287,0.008342991879983648,0.02895489753257923,0.01016394975334245,0.02236153916768961
A1,0,3,27,7,0.023402173451415494,0.6990642231678226,0.015702749734266046,0.007699423717149448,300,300,false,0.05596628708189309,0.006698356064446809,0.009890438129645894,0.02256306485301226,0.021892721128079412
A1,0,4,28,6,0.03006773978757575,0.6439904742461808,0.02100424875243729,0.009063491035138461,300,300,false,0.01591614275591553,0.018699235988460395,0.04077712797811534,0.04767582841468754,0.027270363800699943
A1,1,0,27,7,0.023976195516192744,0.6195063367850838,0.01706399524631141,0.006912200269881333,300,300,false,0.04951018735830104,0.0032196983002590967,0.030348682864062358,0.015431553760726453,0.021370855297614778
A1,1,1,27,7,0.007237521621761911,0.708173355774261,0.022040262105376983,-0.014802740483615072,300,300,false,0.004267569646414524,0.009063845416274715,0.009509574943794771,0.00835006365985122,0.004996554442474327
A1,1,2,27,7,0.018325478180611976,-0.13314891140733853,0.021821991045020965,-0.003496512864408989,229,199,true,0.02032603276405217,0.004000202351665425,0.02966409709150165,0.012586152934706869,0.025050905761133776
A1,1,3,27,7,0.03906615924476138,-0.4910617100780694,0.016517827163985296,0.022548332080776085,300,300,false,0.008037534644232349,0.06025313899427655,0.04741757206651131,0.06423038797345022,0.015392162545336485
A1,1,4,28,6,0.19724208412914832,-0.1430401374104162,0.10573420438857331,0.091507879740575,59,29,true,0.07549832956450649,0.08023341720579057,0.3556408594396809,0.4170863386988399,0.0577514757369238
A1,2,0,27,7,0.01208839636057335,0.8401475966928789,0.015144226280773417,-0.0030558299202000667,300,300,false,0.00626630265933941,0.022370540589784906,0.0034796390606933827,0.014632688041994574,0.013692811451054486
A1,2,1,27,7,0.02552388610609366,0.6613008092716743,0.016016729420989244,0.009507156685104417,300,300,false,0.04911278501809814,0.005038870891562069,0.040085525311118766,0.01755040904865242,0.015831840261036876
A1,2,2,27,7,0.01002266853256605,0.6962400896883595,0.022948051865661342,-0.012925383333095291,300,300,false,0.004027759526771168,0.010019924583368709,0.0144475719844884,0.003795410607546523,0.017822675960655465
A1,2,3,27,7,0.04614857236013726,-0.11176547369883383,0.021148701033821323,0.024999871326315936,300,300,false,0.014999950308586824,0.024700060495314185,0.05242750749577553,0.12331969095307622,0.01529565254793355
A1,2,4,28,6,0.09218442195648985,0.28429049571199705,0.014887703947524297,0.07729671800896555,300,300,false,0.06539171356535158,0.02206029499518367,0.035149597384857185,0.31351627149997674,0.024804232337080154
A2,0,0,27,7,0.018510101940397372,0.5618313300497826,0.015386921477064063,0.003123180463333309,300,300,false,0.009984648971263851,0.005724888854551113,0.021470601929416053,0.04237253790147971,0.01299783204527615
A2,0,1,27,7,0.06628216390883578,0.4378433381115888,0.011786337473172271,0.0544958264356635,300,300,false,0.07873168646844811,0.01630011250635121,0.05301959724893717,0.15181212134145947,0.03154730197898284
A2,0,2,27,7,0.01655001694772472,-0.6757949157191381,0.04651182886007726,-0.02996181191235254,69,39,true,0.0023140852346944124,0.02221170900639826,0.012502004354522134,0.020829771786350308,0.024892514356658485
A2,0,3,27,7,0.018773894542608933,0.7585806912304691,0.012017970938530836,0.006755923604078097,300,300,false,0.05074966937431482,0.0035175074148922525,0.0014374983146020516,0.007139903812459186,0.031024893796776348
