architecture,source,n_params,params_per_train_point,mean_mse,std_mse,mean_r2,std_r2,mean_train_mse,mean_gap,mean_best_epoch,early_stop_rate,mean_mse_HC,mean_mse_NOx,mean_mse_CO2,mean_mse_PM,mean_mse_eta
A11,Table 6,3013,110.8,0.02741403882947959,0.02853801260604895,0.37018420981807976,0.8178338587475565,0.013314399184793647,0.014099639644685944,206.06666666666666,0.5333333333333333,0.0242611445279083,0.013792922852917295,0.016604380114417183,0.05290154722273172,0.029510199429423487
A9,Table 6,709,26.1,0.02829048028746894,0.029434933996149198,0.5069910780286961,0.34252494389513966,0.01672222619607194,0.011568254091396998,225.26666666666668,0.4,0.025234420835034733,0.013941364848237115,0.015527921968753486,0.06321505530305294,0.023533638482266417
A8,Table 6,773,28.4,0.029273595930194813,0.03429711071091206,0.5093301877205141,0.3409285250744179,0.017138431893278957,0.012135164036915865,238.26666666666668,0.26666666666666666,0.023292677020170793,0.014059590565269718,0.01780123790095667,0.0698614012869787,0.02135307287759821
A6,Table 6,4805,176.7,0.029786986165334983,0.03219148373752272,0.3763135707030314,0.6445602418778309,0.01877412583300453,0.011012860332330456,183.26666666666668,0.5333333333333333,0.024523273812518735,0.015303229138685396,0.0163728280843114,0.07089388743018202,0.021841712360977383
A10,Table 6,2437,89.6,0.030001376359262224,0.02913788231657956,0.3201401127506886,0.7565888249004666,0.01818610026122107,0.011815276098041156,177.66666666666666,0.6,0.025640485456858892,0.01689447499872865,0.015322700387333143,0.0672186210238555,0.02493059992953493
A16_wide128,proposed,1285,47.2,0.0301723324562694,0.03386985101208514,0.4167867474040905,0.5131188998315144,0.017570263937802436,0.012602068518466968,194.93333333333334,0.5333333333333333,0.024690844013455997,0.01408920726732949,0.017436370626888298,0.07444397354112806,0.02020126683254517
A3,Table 6,645,23.7,0.03295956840276584,0.03919571629616909,0.29050306246430113,0.8227626195338397,0.01886212263399185,0.01409744576877399,215.46666666666667,0.4,0.02357377045741887,0.015284740885367989,0.024557178582257106,0.07862619831324723,0.022755953775537987
A5,Table 6,1381,50.8,0.03310315968804651,0.0367489404395556,0.16192432560819156,1.3543023718064617,0.019309392877296848,0.013793766810749659,178.66666666666666,0.5333333333333333,0.02334495765621351,0.01957910627950978,0.027775626860537486,0.06638186345925182,0.02843424418471997
A12,Table 6,981,36.1,0.034404245816740994,0.049901282939695916,0.37050264010376305,0.6325724558475307,0.017756423804348807,0.01664782201239219,208.2,0.4,0.028870813981756328,0.02022061312647161,0.022164602198714183,0.0798370902025984,0.020928109574164428
A4,Table 6,437,16.1,0.03559387959116257,0.045830159484340306,0.3242249474164402,0.6725123367431756,0.015681633518354086,0.019912246072808493,251.8,0.26666666666666666,0.02731772039765103,0.019498489259081386,0.02550807106548911,0.08136982617411545,0.0242752910594759
A2,Table 6,325,11.9,0.03746566197615627,0.04857397914229395,0.3296863647019506,0.5656513055527206,0.019585200831812193,0.01788046114434407,249.46666666666667,0.2,0.03085517752087795,0.013965322140114596,0.0350997199002655,0.08364831065581405,0.0237597796637092
A1,Table 6,165,6.1,0.04230734934231926,0.04842327613256659,0.2892316818515951,0.4958858151870802,0.026061277839390915,0.016246071502928342,259.93333333333334,0.2,0.029661077905217943,0.02024875793874572,0.05409112645148321,0.08652327987423217,0.021012504541917262
A7,Table 6,261,9.6,0.0466308759185851,0.05034708869637971,0.06704825232646067,1.1579216551086378,0.022288490218383673,0.024342385700201426,251.2,0.26666666666666666,0.03848573799823028,0.022166384160669603,0.03867819065851517,0.11254387821016772,0.021280188565342726
A15_tiny8,proposed,85,3.1,0.05748355436131409,0.05431849175430039,-0.0699333506682606,0.8243900724950463,0.032937061900437964,0.024546492460876125,286.3333333333333,0.06666666666666667,0.053044262302012854,0.027570892727723825,0.057886096711197564,0.10479946833920453,0.04411705172643164
A14_tiny4,proposed,45,1.7,0.07853204048013103,0.05430018721683654,-0.5519003977987331,1.2825463590873516,0.06292087589758422,0.015611164582546803,284.0,0.13333333333333333,0.07792490063653496,0.05250818383885734,0.08330326511479,0.12132655914787543,0.05759729366259743
A13_linear,proposed,25,0.9,0.19567489737610855,0.161358129084775,-2.42119593793859,1.6560129859707657,0.13206275184975116,0.06361214552635738,292.4,0.06666666666666667,0.0532796010057018,0.07671172990987131,0.09412491032837832,0.17834330136720247,0.5759149442693888
