lambda_norm,HC_best_overall,HC_best_relu,HC_best_non_relu
0.44147158,0.34744114,0.2798285,0.38914657
0.44481605,0.34915447,0.28248724,0.39061856
0.44816053,0.35086793,0.28517115,0.39209095
0.451505,0.35258132,0.28785506,0.3935638
0.4548495,0.35435772,0.29053903,0.3950371
0.458194,0.35708785,0.29322302,0.39651078
0.46153846,0.3599461,0.29590684,0.39798486
0.46488294,0.36284295,0.29859078,0.39945933
0.46822742,0.36581334,0.30127472,0.40093428
0.4715719,0.3687838,0.30395865,0.4024097
0.4749164,0.37175423,0.30664262,0.40388542
0.47826087,0.37472463,0.3093265,0.4053615
0.48160535,0.37769502,0.31180418,0.40683812
0.48494983,0.38066542,0.31384727,0.40831506
0.4882943,0.38363582,0.3158896,0.40979233
0.4916388,0.38660634,0.31792036,0.41127008
0.4949833,0.38957667,0.319951,0.41274816
0.49832776,0.39254713,0.32198167,0.4142267
0.50167227,0.39551753,0.32401237,0.41570556
0.50501674,0.398488,0.326043,0.41718477
0.5083612,0.40145838,0.32807368,0.4186644
0.5117057,0.40414077,0.3302325,0.42014438
0.5150502,0.4067377,0.33299124,0.42162478
0.51839465,0.40933454,0.33586878,0.42310548
0.5217391,0.4119314,0.33874625,0.4245866
0.5250836,0.41452837,0.3416238,0.42606795
0.5284281,0.41712523,0.34450126,0.42754978
0.53177255,0.4197222,0.34737885,0.4290318
0.53511703,0.422319,0.35025632,0.43051434
0.53846157,0.42491597,0.35313392,0.43199724
0.54180604,0.42751288,0.35601145,0.43348038
0.5451505,0.43010986,0.35888895,0.43496382
0.548495,0.43270665,0.36176646,0.43644768
0.5518395,0.43530357,0.364644,0.4379319
0.55518395,0.43790048,0.36752158,0.43941635
0.5585284,0.44049734,0.370399,0.44090098
0.5618729,0.4430943,0.3732766,0.4423862
0.5652174,0.44570655,0.37615407,0.44387174
0.56856185,0.44832623,0.37903154,0.4453575
0.5719063,0.4509458,0.381909,0.44684345
0.57525086,0.45356548,0.38478667,0.4483298
0.57859534,0.45618516,0.38766414,0.44981647
0.5819398,0.4588048,0.39054173,0.45130336
0.5852843,0.46142453,0.3934192,0.45279056
0.58862877,0.4640441,0.39629674,0.45427817
0.59197325,0.46666372,0.39917427,0.4557659
0.5953177,0.46928346,0.40205175,0.457254
0.5986622,0.4719031,0.40492922,0.45874232
0.6020067,0.47440523,0.4078068,0.46023095
0.60535115,0.47688758,0.4106844,0.46171993
0.6086956,0.47936976,0.41356188,0.46320903
0.61204016,0.48185205,0.41643935,0.46469843
0.61538464,0.4843344,0.41931695,0.4661882
0.6187291,0.48681664,0.42219442,0.46767807
0.6220736,0.48929882,0.42507195,0.46916837
0.62541807,0.49178112,0.4279495,0.47065866
0.62876254,0.49426335,0.43079352,0.4721493
0.632107,0.49674565,0.43359256,0.47364032
0.6354515,0.49922788,0.4363916,0.47513133
0.638796,0.5017102,0.43919057,0.47662288
0.64214045,0.5041924,0.4419896,0.47811443
0.6454849,0.50667465,0.44478858,0.47960627
0.64882946,0.50915694,0.44758767,0.48109835
0.65217394,0.51163924,0.45038664,0.48259056
0.6555184,0.5141215,0.45318568,0.48408312
0.6588629,0.5166037,0.45598465,0.4855758
0.66220737,0.519086,0.4587837,0.48706865
0.66555184,0.52156824,0.46158278,0.4885618
0.6688963,0.5240505,0.46438175,0.49005502
0.6722408,0.52653277,0.46718067,0.49154848
0.67558527,0.529015,0.46997976,0.4930421
0.67892975,0.5314973,0.47277868,0.49453592
0.6822742,0.53397954,0.47557777,0.49602997
0.68561876,0.53646183,0.4783768,0.49752426
0.68896323,0.53894407,0.48117584,0.4990185
0.6923077,0.5414263,0.48397487,0.5005131
0.6956522,0.5439086,0.48677397,0.5020077
0.69899666,0.54639083,0.48957288,0.50350255
0.70234114,0.5488731,0.4923718,0.5049976
0.7056856,0.5513554,0.49517095,0.5064928
0.7090301,0.5538376,0.49796987,0.507988
0.71237457,0.55631995,0.5007689,0.5094835
0.71571904,0.5588021,0.503568,0.510979
0.7190635,0.56128436,0.50636685,0.51247466
0.72240806,0.5637667,0.509166,0.51397055
0.72575253,0.56624895,0.51196504,0.5154665
0.729097,0.56873125,0.51476413,0.5169626
0.7324415,0.57121354,0.51756305,0.5184588
0.73578596,0.5736957,0.52036214,0.5199551
0.73913044,0.5761781,0.52315253,0.5214515
0.7424749,0.5786603,0.52592075,0.52294797
0.7458194,0.5811426,0.52868927,0.5244446
0.74916387,0.5836248,0.5314828,0.5259413
0.75250834,0.5861071,0.5344485,0.5274381
0.7558528,0.58858925,0.537414,0.528935
0.7591973,0.59107155,0.54037976,0.53043187
0.76254183,0.5935539,0.5433454,0.5319289
0.7658863,0.59603614,0.54631114,0.53342605
0.7692308,0.59851843,0.5492767,0.5349232
0.77257526,0.60100067,0.55224234,0.5364204
0.77591974,0.6034829,0.55520797,0.53791773
0.7792642,0.60596514,0.55817354,0.5394151
0.7826087,0.6084474,0.5611392,0.5409125
0.78595316,0.6109297,0.56410486,0.54240984
0.78929764,0.6134119,0.5670705,0.5439073
0.7926421,0.6158942,0.5700362,0.54540485
0.7959866,0.6183764,0.5730018,0.5469024
0.7993311,0.6208588,0.57596755,0.5484
0.8026756,0.623341,0.5789331,0.5498975
0.8060201,0.62582326,0.5818987,0.5513952
0.80936456,0.6283055,0.5848644,0.5528928
0.81270903,0.6307878,0.58783,0.5543905
0.8160535,0.6332701,0.5907956,0.55588824
0.819398,0.63574314,0.5937613,0.5573856
0.82274246,0.63815403,0.59672683,0.5588833
0.82608694,0.6405649,0.5996925,0.5603811
0.8294314,0.6429759,0.6026582,0.56187856
0.8327759,0.64538664,0.6056238,0.5633762
0.8361204,0.64844394,0.6085895,0.5648738
0.8394649,0.65217406,0.6115552,0.5663713
0.8428094,0.65590394,0.6145207,0.56786877
0.84615386,0.659634,0.6174864,0.5693663
0.84949833,0.663364,0.62045205,0.57086366
0.8528428,0.66709393,0.6234177,0.5723611
0.8561873,0.67082393,0.6263833,0.57385844
0.85953176,0.67455393,0.62934893,0.57535577
0.86287624,0.6782839,0.63231456,0.57685286
0.8662207,0.68201387,0.6352803,0.57835
0.8695652,0.685744,0.63824594,0.5798471
0.8729097,0.68947405,0.64121145,0.58134425
0.8762542,0.6932041,0.6441773,0.5828411
0.8795987,0.6969339,0.64714277,0.5843379
0.88294315,0.700664,0.6501084,0.5858346
0.8862876,0.704394,0.6530741,0.5873313
0.8896321,0.708124,0.65603966,0.5888278
0.8929766,0.7118541,0.65900534,0.5903243
0.89632106,0.71558386,0.66197103,0.59182054
0.89966553,0.719314,0.66493666,0.59331685
0.90301,0.723044,0.66790223,0.59481305
0.9063545,0.726774,0.67086786,0.59630907
0.909699,0.7305041,0.6738336,0.59780484
0.9130435,0.7342341,0.67679924,0.5993007
0.916388,0.7379642,0.67973304,0.6007962
0.91973245,0.7416941,0.6825934,0.6022915
0.9230769,0.74542415,0.6854537,0.60378695
0.9264214,0.74915403,0.6883142,0.60528207
0.9297659,0.75288403,0.69117457,0.6067772
0.93311036,0.75661415,0.6940348,0.6082719
0.93645483,0.760344,0.6968954,0.60976666
0.9397993,0.764074,0.6997556,0.6112611
0.9431438,0.7678041,0.7026161,0.6127554
0.9464883,0.7715341,0.70547646,0.61424947
0.9498328,0.77526414,0.70833695,0.6157436
0.9531773,0.7789941,0.71119726,0.61723715
0.95652175,0.78272414,0.7140577,0.61873084
0.9598662,0.78645414,0.7169181,0.62022424
0.9632107,0.79018414,0.7197784,0.6217173
0.9665552,0.79391414,0.72263885,0.6232103
0.96989965,0.7976441,0.7254992,0.62470305
0.97324413,0.8013741,0.72835946,0.62619543
0.9765886,0.80510414,0.73122,0.62768775
0.9799331,0.8088341,0.73408043,0.6291799
0.9832776,0.81256413,0.7369407,0.6306718
0.9866221,0.81629425,0.7398012,0.6321632
0.9899666,0.8200241,0.74266165,0.63365465
0.99331105,0.8237241,0.7455219,0.6351456
0.9966555,0.82729805,0.7483824,0.63663656
1.0,0.83087194,0.75124264,0.6381271
